Name,Origin,Processing,Dry Fragrance,Wet Aroma,Brightness,Flavor,Body (Cupping),Finish,Sweetness,Clean Cup,Complexity,Uniformity,Floral,Honey,Sugars,Caramel,Fruits,Citrus,Berry,Cocoa,Nuts,Rustic,Spice,Body (Flavor),Total Score
Rwanda Rulindo Tumba,East Africa,Wet Process,0.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,3.0,3.0,8.8,8.8,8.5,9.2,8.8,9.0,8.6,8.5,9.1,8.2,87.49999999999999
Rwanda Rusizi Gaseke,East Africa,Wet Process,0.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,3.0,8.5,8.6,8.4,8.6,8.8,8.3,8.6,8.1,8.8,8.2,84.9
Rwanda Rusizi Nyakarenzo,East Africa,Wet Process,0.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,3.0,8.6,8.7,8.6,8.7,8.7,8.6,8.6,8.3,8.8,8.2,85.8
Rwanda Rutsiro Mushonyi,East Africa,Wet Process,1.0,0.0,3.0,3.0,2.0,1.0,2.0,3.0,0.0,0.0,3.0,3.0,8.7,8.8,8.7,9.0,8.6,8.7,8.7,8.5,9.0,8.5,87.2
Tanzania Mbeya Isende AB,East Africa,Wet Process,0.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,8.2,8.5,8.0,8.3,8.8,8.0,8.6,7.9,8.5,8.5,83.3
Costa Rica Chirripo Finca Jose,South America,Machine Washed,0.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,8.3,8.6,8.3,8.6,9.0,8.3,8.4,8.5,8.4,9.0,85.4
Costa Rica Chirripo Finca Jose Lot 1,South America,Wet Process,0.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,8.5,8.7,8.5,8.6,8.8,8.5,8.5,8.5,8.5,8.5,85.6
El Salvador Nejapa Finca El Cipres,South America,Wet Process,0.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,4.0,8.3,8.5,8.1,8.5,9.0,8.3,8.5,8.4,7.9,8.5,84.00000000000001
Costa Rica Chirripo Finca Jose Lot 2,South America,Wet Process,0.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,3.0,8.3,8.6,8.4,8.5,8.7,8.5,8.5,8.5,8.3,8.5,84.8
Costa Rica Don Mayo La Ladera Lot 2,South America,Machine Washed,0.0,1.0,2.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,3.0,8.3,8.6,8.3,8.4,8.7,8.3,8.4,8.5,8.0,8.5,84.0
